round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,t_train_s,t_aggregate_s,t_eval_s,t_round_s
1,0.447247,0.461433,0.447247,0.538540,0.230891,0.447247,0.447247,0.222937,0.447247,0.404114,367.0,0.0,38.3,405.4
2,0.778094,0.746967,0.778094,0.757550,0.576228,0.778094,0.778094,0.585704,0.778094,0.728173,352.6,0.0,16.7,369.4
3,0.810807,0.784595,0.810807,0.787825,0.672427,0.810807,0.810807,0.691805,0.810807,0.772919,324.7,0.0,16.8,341.6
4,0.818184,0.788118,0.818184,0.794864,0.697345,0.818184,0.818184,0.716842,0.818184,0.785541,322.9,0.0,16.5,339.5
5,0.820049,0.799072,0.820049,0.800410,0.706119,0.820049,0.820049,0.730210,0.820049,0.793346,323.3,0.0,16.9,340.3
6,0.827942,0.806527,0.827942,0.807204,0.726252,0.827942,0.827942,0.748655,0.827942,0.802045,319.2,0.1,16.6,335.8
7,0.823473,0.811834,0.823473,0.810621,0.739231,0.823473,0.823473,0.762826,0.823473,0.806860,321.5,0.0,16.9,338.4
8,0.826844,0.815407,0.826844,0.812489,0.746666,0.826844,0.826844,0.769976,0.826844,0.811210,323.9,0.0,16.5,340.4
9,0.814150,0.817250,0.814150,0.814716,0.755929,0.814150,0.814150,0.777317,0.814150,0.809090,320.7,0.0,16.5,337.2
10,0.804987,0.814514,0.804987,0.812896,0.761156,0.804987,0.804987,0.779813,0.804987,0.804985,324.2,0.1,16.4,340.7
11,0.800093,0.813270,0.800093,0.810397,0.763818,0.800093,0.800093,0.781954,0.800093,0.802803,321.5,0.0,17.0,338.5
12,0.791922,0.805932,0.791922,0.808484,0.770759,0.791922,0.791922,0.783266,0.791922,0.797272,316.7,0.0,16.5,333.3
13,0.780561,0.803167,0.780561,0.806078,0.776833,0.780561,0.780561,0.784283,0.780561,0.788174,320.2,0.0,16.9,337.1
14,0.775341,0.804887,0.775341,0.805105,0.776063,0.775341,0.775341,0.783074,0.775341,0.783566,318.8,0.0,16.9,335.7
15,0.774975,0.801656,0.774975,0.803520,0.779353,0.774975,0.774975,0.783598,0.774975,0.782614,317.3,0.0,17.1,334.5
16,0.773482,0.796885,0.773482,0.803036,0.784361,0.773482,0.773482,0.784998,0.773482,0.781100,326.1,0.0,16.4,342.6
17,0.773586,0.799161,0.773586,0.802082,0.780475,0.773586,0.773586,0.782727,0.773586,0.780518,317.8,0.0,16.6,334.5
18,0.777730,0.798090,0.777730,0.803502,0.782229,0.777730,0.777730,0.784261,0.777730,0.784422,316.6,0.0,16.4,333.0
19,0.769495,0.793795,0.769495,0.800378,0.771079,0.769495,0.769495,0.772071,0.769495,0.776122,321.8,0.0,16.5,338.4
20,0.775734,0.796533,0.775734,0.802852,0.783276,0.775734,0.775734,0.783588,0.775734,0.782267,317.6,0.0,17.1,334.7
21,0.769844,0.794296,0.769844,0.800018,0.782449,0.769844,0.769844,0.780039,0.769844,0.775260,320.7,0.0,17.1,337.8
22,0.770582,0.793839,0.770582,0.801356,0.787042,0.770582,0.770582,0.782448,0.770582,0.776048,317.6,0.0,16.9,334.5
23,0.775574,0.795354,0.775574,0.802085,0.785630,0.775574,0.775574,0.783759,0.775574,0.781532,322.2,0.0,16.5,338.7
24,0.771897,0.792199,0.771897,0.801517,0.787713,0.771897,0.771897,0.782985,0.771897,0.777599,320.0,0.0,16.6,336.6
25,0.771744,0.788970,0.771744,0.799655,0.791412,0.771744,0.771744,0.783537,0.771744,0.776233,325.9,0.0,16.6,342.5
26,0.764600,0.788379,0.764600,0.799791,0.791615,0.764600,0.764600,0.781219,0.764600,0.769036,327.3,0.0,16.4,343.7
27,0.763103,0.789965,0.763103,0.799178,0.791344,0.763103,0.763103,0.780985,0.763103,0.767039,327.5,0.0,16.3,343.8
28,0.761148,0.789254,0.761148,0.799282,0.786256,0.761148,0.761148,0.776454,0.761148,0.765385,327.2,0.0,16.3,343.5
29,0.758899,0.786438,0.758899,0.797885,0.794819,0.758899,0.758899,0.779747,0.758899,0.761229,328.5,0.0,16.4,344.9
30,0.759403,0.784348,0.759403,0.796389,0.792133,0.759403,0.759403,0.777421,0.759403,0.761503,326.3,0.0,16.5,342.8
31,0.755322,0.785355,0.755322,0.797302,0.794089,0.755322,0.755322,0.777397,0.755322,0.756811,329.2,0.0,16.3,345.5
