round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,samples_per_sec,peak_gb
0,0.8487011333065028,0.8582881687660793,0.8487011333065028,0.8510169767541215,0.8023416373819128,0.8487011333065028,0.8487011333065028,0.8132530520996075,0.8487011333065028,0.8328080469840116,0.26096659898757935,0.001,704.1,61138,4.57
1,0.839222204886509,0.8336568805089202,0.839222204886509,0.8402605673013548,0.807805780956105,0.839222204886509,0.839222204886509,0.8087216137862264,0.839222204886509,0.8265842177582122,0.17437398433685303,0.0009989726963751681,701.2,61387,4.11
2,0.8429703430138785,0.8422816006588508,0.8429703430138785,0.8445438388102713,0.8098158767813365,0.8429703430138785,0.8429703430138785,0.8167582026377714,0.8429703430138785,0.8326463379273769,0.14946618676185608,0.000995895006911623,701.4,61368,4.11
3,0.8308190715601204,0.8331017985260595,0.8308190715601204,0.8357791186474727,0.8068815667767595,0.8308190715601204,0.8308190715601204,0.8108686154018763,0.8308190715601204,0.8210216275169929,0.1343012899160385,0.0009907795784955327,701.3,61379,4.11
4,0.826378083107285,0.831705160755758,0.826378083107285,0.8348793668927406,0.8044371915317443,0.826378083107285,0.826378083107285,0.8090260596876551,0.826378083107285,0.8185698589884518,0.12376576662063599,0.0009836474315195148,700.1,61486,4.11
5,0.8267896488384396,0.8263231595388156,0.8267896488384396,0.8329794873000754,0.8079628500135382,0.8267896488384396,0.8267896488384396,0.8085491830848048,0.8267896488384396,0.8193333800178387,0.11577801406383514,0.0009745278735053344,700.0,61495,4.11
6,0.8209913019220743,0.8185552287556939,0.8209913019220743,0.8289346113147839,0.8058907334672021,0.8209913019220743,0.8209913019220743,0.8036932473556222,0.8209913019220743,0.8125997647090478,0.10914546996355057,0.0009634583786730109,699.9,61497,4.11
7,0.8235541790648249,0.815426751442671,0.8235541790648249,0.8296895332692171,0.8040713069666909,0.8235541790648249,0.8235541790648249,0.8014905069354947,0.8235541790648249,0.8143548460089512,0.10362308472394943,0.0009504844339512095,700.2,61479,4.11
8,0.8232432513302476,0.8242720395598296,0.8232432513302476,0.8304695665564019,0.8101931845362416,0.8232432513302476,0.8232432513302476,0.8106372443024594,0.8232432513302476,0.8169117292857374,0.09899507462978363,0.0009356593520616947,701.2,61389,4.11
9,0.8184194110344778,0.8140126901633378,0.8184194110344778,0.8257232078442074,0.8049358913390551,0.8184194110344778,0.8184194110344778,0.802034754741472,0.8184194110344778,0.8106216843220218,0.09502580761909485,0.0009190440524459203,701.6,61354,4.11
10,0.8146457184758445,0.8169965334999691,0.8146457184758445,0.8248729657571301,0.8046061686700083,0.8146457184758445,0.8146457184758445,0.8022523815416858,0.8146457184758445,0.8072755198860079,0.0914977416396141,0.0009007068109339783,701.0,61406,4.11
11,0.8124761007989431,0.8089454329374712,0.8124761007989431,0.821970028184427,0.8059571751353999,0.8124761007989431,0.8124761007989431,0.7985294991339817,0.8124761007989431,0.8037661148610484,0.08846332877874374,0.0008807229791845672,701.2,61388,4.11
12,0.8181986207483583,0.8120888187904962,0.8181986207483583,0.8248741892170126,0.8089546174172311,0.8181986207483583,0.8181986207483583,0.8038243066202736,0.8181986207483583,0.8111179907540956,0.08597303181886673,0.0008591746750488638,700.8,61423,4.11
13,0.8105597043045649,0.8019907586477177,0.8105597043045649,0.820212829380231,0.8065095265006907,0.8105597043045649,0.8105597043045649,0.7966448605888921,0.8105597043045649,0.8025255387535716,0.08365088701248169,0.0008361504451306584,701.8,61336,4.11
14,0.8146804725023633,0.8072297335314993,0.8146804725023633,0.8234580334205561,0.8089735870572313,0.8146804725023633,0.8146804725023633,0.8013486808273267,0.8146804725023633,0.807968803630969,0.0817665159702301,0.0008117449009293668,701.9,61327,4.11
