round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,samples_per_sec,peak_gb
0,0.8538569953582931,0.8448642697539952,0.8538569953582931,0.8477994774435846,0.8143797037247615,0.8538569953582931,0.8538569953582931,0.8242179957233418,0.8538569953582931,0.8468153809581533,0.22414258122444153,0.001,565.7,76091,5.62
1,0.8542482104696412,0.8389245372675,0.8542482104696412,0.8466927809959396,0.8145026458361033,0.8542482104696412,0.8542482104696412,0.821734883653504,0.8542482104696412,0.8460585356585351,0.11790575087070465,0.0009989726963751681,565.1,76177,5.61
2,0.8344679655689815,0.8225804956735845,0.8344679655689815,0.8345776454022175,0.8171696653491769,0.8344679655689815,0.8344679655689815,0.8165135852294032,0.8344679655689815,0.8315023348660172,0.09521953016519547,0.000995895006911623,563.9,76336,5.61
3,0.847068995012983,0.8325197795047488,0.847068995012983,0.8427224220051744,0.8180154513553941,0.847068995012983,0.847068995012983,0.8211579364713865,0.847068995012983,0.8406546769703718,0.08420845866203308,0.0009907795784955327,564.5,76251,5.61
4,0.8406368052760701,0.8295854117265973,0.8406368052760701,0.8388630840640894,0.8186571210173793,0.8406368052760701,0.8406368052760701,0.8208172174686968,0.8406368052760701,0.8363131742807979,0.07736308127641678,0.0009836474315195148,564.4,76271,5.61
5,0.8353267803098554,0.8286726700343521,0.8353267803098554,0.8362942890632319,0.8156181668872275,0.8353267803098554,0.8353267803098554,0.8177558371880368,0.8353267803098554,0.8302341529833351,0.07258577644824982,0.0009745278735053344,563.9,76332,5.61
6,0.835086196955157,0.8233056291821303,0.835086196955157,0.8359685208239989,0.8188268251077959,0.835086196955157,0.835086196955157,0.817432538895214,0.835086196955157,0.831837898859807,0.06904523074626923,0.0009634583786730109,563.8,76354,5.61
7,0.8424519132974388,0.826597637929489,0.8424519132974388,0.8384200331016448,0.8189978673240453,0.8424519132974388,0.8424519132974388,0.8188857543065946,0.8424519132974388,0.836804359110718,0.06616879999637604,0.0009504844339512095,563.7,76366,5.61
8,0.8346536301277638,0.8189343600753214,0.8346536301277638,0.8344206346591949,0.8172299931217801,0.8346536301277638,0.8346536301277638,0.8142869989422321,0.8346536301277638,0.8309412322858415,0.06387044489383698,0.0009356593520616947,563.7,76360,5.61
9,0.837997264839528,0.8288324371403282,0.837997264839528,0.8375479150656556,0.8198945654765278,0.837997264839528,0.837997264839528,0.8203436514948709,0.837997264839528,0.8344793741463473,0.062015458941459656,0.0009190440524459203,563.2,76430,5.61
10,0.8307358105768026,0.8183071974987511,0.8307358105768026,0.8313950840350834,0.8162537118527389,0.8307358105768026,0.8307358105768026,0.8129851386238215,0.8307358105768026,0.8276471578906899,0.060370322316884995,0.0009007068109339783,563.9,76329,5.61
11,0.8227413623002259,0.810119446508653,0.8227413623002259,0.8251478169337019,0.8150143050034928,0.8227413623002259,0.8227413623002259,0.807868046836536,0.8227413623002259,0.8186105900250787,0.059059277176856995,0.0008807229791845672,563.7,76363,5.61
12,0.8215068509571715,0.8148115627749934,0.8215068509571715,0.8256656326043861,0.8108236321516954,0.8215068509571715,0.8215068509571715,0.808138636802458,0.8215068509571715,0.8191638140370329,0.058244265615940094,0.0008591746750488638,563.4,76404,5.61
13,0.8142612869044319,0.7994235074953397,0.8142612869044319,0.8183232016988864,0.809355125369027,0.8142612869044319,0.8142612869044319,0.7999295262610422,0.8142612869044319,0.8116314431145627,0.058407410979270935,0.0008361504451306584,563.7,76359,5.61
14,0.7966054051060355,0.7302380900720264,0.7966054051060355,0.7923161182079583,0.7435790027881959,0.7966054051060355,0.7966054051060355,0.7318419427049478,0.7966054051060355,0.7904947319728765,0.07687857747077942,0.0008117449009293668,562.2,76561,5.61
15,0.7564559553579883,0.6641075620512327,0.7564559553579883,0.7481964456649792,0.659340678974887,0.7564559553579883,0.7564559553579883,0.64697554945046,0.7564559553579883,0.7412947401682928,0.44695255160331726,0.0007860583300610849,554.1,77687,5.61
16,0.6576242389077274,0.5574890599799474,0.6576242389077274,0.6843695774748761,0.6213885164263093,0.6576242389077274,0.6576242389077274,0.5573309900155473,0.6576242389077274,0.6551549719054699,0.2656085789203644,0.0007591962841552626,554.1,77691,5.61
17,0.05614931147534281,0.24872615394124187,0.05614931147534281,0.26057943751446133,0.06986131389188108,0.05614931147534281,0.05614931147534281,0.038123117796131006,0.05614931147534281,0.0341450235430408,0.2427947074174881,0.0007312691451204177,552.3,77944,5.61
18,0.5550742133207723,0.5095166618535549,0.5550742133207723,0.6167948347276507,0.42010638707147185,0.5550742133207723,0.5550742133207723,0.3723190339685613,0.5550742133207723,0.5383816941046036,0.22932817041873932,0.0007023916715611969,552.4,77923,5.61
19,0.7813182796979894,0.7104838078769269,0.7813182796979894,0.7746053686504089,0.7130953423017768,0.7813182796979894,0.7813182796979894,0.6952493770750898,0.7813182796979894,0.7699372676331658,0.20964375138282776,0.0006726825272106538,552.2,77956,5.61
20,0.7789073352647528,0.7335382449201469,0.7789073352647528,0.767868743132573,0.6901344869015102,0.7789073352647528,0.7789073352647528,0.6950090679946865,0.7789073352647528,0.7653120013355423,0.20553021132946014,0.0006422637933155162,551.6,78038,5.61
21,0.6322593750612726,0.5979913249985136,0.6322593750612726,0.6481235993126315,0.4360192843933349,0.6322593750612726,0.6322593750612726,0.4329401588103636,0.6322593750612726,0.600082797853858,0.25556081533432007,0.0006112604669781572,551.7,78023,5.61
