round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,skipped_steps,samples_per_sec,peak_gb
0,0.8569219473814746,0.8575222318054628,0.8569219473814746,0.8520744552824253,0.8094306671909504,0.8569219473814746,0.8569219473814746,0.8245096402734329,0.8569219473814746,0.8463965373281261,0.22339440882205963,0.001,608.3,1,70760,5.62
1,0.8530917562984471,0.8382464866189268,0.8530917562984471,0.8466526687527705,0.81849703686149,0.8530917562984471,0.8530917562984471,0.8247247733309836,0.8530917562984471,0.8466257528510385,0.11863615363836288,0.0009989726963751681,609.0,5,70679,5.61
2,0.8235722065545165,0.8011977642102568,0.8235722065545165,0.8218513004364465,0.8091779333400286,0.8235722065545165,0.8235722065545165,0.800056695669235,0.8235722065545165,0.8196197332837677,0.10058709979057312,0.000995895006911623,609.6,4,70614,5.61
3,0.8390104283452353,0.8296570753413184,0.8390104283452353,0.8353850973941892,0.807436960719158,0.8390104283452353,0.8390104283452353,0.8106226524149469,0.8390104283452353,0.8295965260173,0.09276898950338364,0.0009907795784955327,606.5,5,70972,5.61
4,0.8413010346385205,0.830824565105386,0.8413010346385205,0.8415953846012192,0.8234189194654069,0.8413010346385205,0.8413010346385205,0.8249516220257912,0.8413010346385205,0.839786656032337,0.08806214481592178,0.0009836474315195148,608.5,5,70735,5.61
5,0.8367505802946714,0.8293738506898527,0.8367505802946714,0.8376249065277234,0.8163731958230178,0.8367505802946714,0.8367505802946714,0.818976788440411,0.8367505802946714,0.8333933957764308,0.08475551009178162,0.0009745278735053344,598.1,4,71968,5.61
6,0.8449385917724209,0.8285622869378,0.8449385917724209,0.8419165365407781,0.8173089547296858,0.8449385917724209,0.8449385917724209,0.820556015189901,0.8449385917724209,0.8408316550301432,0.08237762749195099,0.0009634583786730109,595.8,3,72252,5.61
7,0.8387309093298113,0.8261358815922704,0.8387309093298113,0.8352582488861597,0.8075117712356235,0.8387309093298113,0.8387309093298113,0.8109740017174751,0.8387309093298113,0.8322775218470284,0.08028721809387207,0.0009504844339512095,598.2,4,71955,5.61
8,0.8327965199139178,0.8294666970606477,0.8327965199139178,0.8355127872824103,0.8134392794167307,0.8327965199139178,0.8327965199139178,0.8185850974962148,0.8327965199139178,0.8306938656022866,0.07850592583417892,0.0009356593520616947,597.4,5,72055,5.61
9,0.8224798707744935,0.8032084145220547,0.8224798707744935,0.8222525908056771,0.8078611927907096,0.8224798707744935,0.8224798707744935,0.8015438263566184,0.8224798707744935,0.8186036517383659,0.07684033364057541,0.0009190440524459203,594.9,3,72354,5.61
10,0.8403537551028715,0.8334758244330713,0.8403537551028715,0.8396438330598637,0.8140677928299197,0.8403537551028715,0.8403537551028715,0.8196697556615831,0.8403537551028715,0.8356240623895402,0.07541143894195557,0.0009007068109339783,588.4,3,73152,5.61
11,0.8388120330334234,0.8200408321985317,0.8388120330334234,0.8375776824824601,0.8194614005855219,0.8388120330334234,0.8388120330334234,0.8175267237296684,0.8388120330334234,0.8357832837649808,0.07404205948114395,0.0008807229791845672,587.0,6,73329,5.61
12,0.8273405094512831,0.8023755023417367,0.8273405094512831,0.8270379630005175,0.8153733102284257,0.8273405094512831,0.8273405094512831,0.8058445552500749,0.8273405094512831,0.8244437023308004,0.07292965054512024,0.0008591746750488638,587.5,6,73267,5.61
13,0.8466091081754387,0.8367522909997006,0.8466091081754387,0.8431020634951794,0.8218452033234918,0.8466091081754387,0.8466091081754387,0.8248561147939412,0.8466091081754387,0.8402570914572154,0.07157926261425018,0.0008361504451306584,588.7,4,73117,5.61
14,0.8218292084919141,0.7960833025557454,0.8218292084919141,0.822092170464158,0.8134923124237815,0.8218292084919141,0.8218292084919141,0.8005589160788744,0.8218292084919141,0.8190642956255392,0.07051070034503937,0.0008117449009293668,589.4,4,73028,5.61
15,0.8321568228054806,0.8096990425561832,0.8321568228054806,0.8307660991413817,0.8092157715292132,0.8321568228054806,0.8321568228054806,0.8048778315637306,0.8321568228054806,0.8272808386428402,0.06948339939117432,0.0007860583300610849,596.8,3,72130,5.61
16,0.8310938513901099,0.818573616249457,0.8310938513901099,0.8295818000845381,0.8135906235760577,0.8310938513901099,0.8310938513901099,0.8104009562305743,0.8310938513901099,0.8251223942050597,0.0684949979186058,0.0007591962841552626,589.2,4,73053,5.61
17,0.8366930595930266,0.822981050005412,0.8366930595930266,0.8368262386426465,0.8170547743881746,0.8366930595930266,0.8366930595930266,0.8158054500683738,0.8366930595930266,0.8326956468045461,0.06743527948856354,0.0007312691451204177,589.0,4,73079,5.61
18,0.81055050470931,0.7861450667564374,0.81055050470931,0.8135843607844885,0.8103083419004835,0.81055050470931,0.81055050470931,0.7926436106072781,0.81055050470931,0.8080297152558072,0.06648290157318115,0.0007023916715611969,589.5,4,73016,5.61
19,0.8345395179765203,0.8173636078098354,0.8345395179765203,0.8341478545031177,0.8214303728337766,0.8345395179765203,0.8345395179765203,0.8166316582628288,0.8345395179765203,0.8314413973051749,0.0654439777135849,0.0006726825272106538,591.1,4,72818,5.61
20,0.818194996665379,0.7919244010733626,0.818194996665379,0.8191259614571123,0.8147529137811569,0.818194996665379,0.818194996665379,0.7994978066807541,0.818194996665379,0.8152723464760443,0.06449159979820251,0.0006422637933155162,593.2,5,72558,5.61
21,0.8354496274303309,0.8199746601848612,0.8354496274303309,0.8354494918831608,0.8159180570530589,0.8354496274303309,0.8354496274303309,0.8138948547488818,0.8354496274303309,0.8309087747799654,0.06341493874788284,0.0006112604669781572,590.9,3,72843,5.61
22,0.8394864841683793,0.831609841685134,0.8394864841683793,0.8406042521601379,0.8189094239647847,0.8394864841683793,0.8394864841683793,0.820319428723688,0.8394864841683793,0.8349873142035231,0.06246574595570564,0.0005797999475166897,588.7,4,73120,5.61
23,0.8266250783011005,0.8122215669412548,0.8266250783011005,0.8284774550306805,0.81777157663104,0.8266250783011005,0.8266250783011005,0.8103834374205316,0.8266250783011005,0.8236180578295097,0.061308544129133224,0.0005480115129538409,590.7,3,72870,5.61
24,0.8235704409756291,0.8024684645266837,0.8235704409756291,0.8259316350195243,0.80764210604926,0.8235704409756291,0.8235704409756291,0.8007007888592428,0.8235704409756291,0.8204266375359546,0.06019405648112297,0.0005160257887858277,590.7,3,72868,5.61
25,0.8367299508992512,0.8247499162835948,0.8367299508992512,0.8380481609735716,0.8182713520254652,0.8367299508992512,0.8367299508992512,0.8168508639859053,0.8367299508992512,0.8334267708993989,0.05920296162366867,0.0004839742112141724,588.4,5,73153,5.61
26,0.8211394246981999,0.7873655722333371,0.8211394246981999,0.8204821735689504,0.8107691996972474,0.8211394246981999,0.8211394246981999,0.792947466569317,0.8211394246981999,0.815378766454491,0.0580931194126606,0.0004519884870461591,590.9,5,72848,5.61
