round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,skipped_steps,samples_per_sec,peak_gb
0,0.8820010662237975,0.8841593625844075,0.8820010662237975,0.8736925739196402,0.8288509070358853,0.8820010662237975,0.8820010662237975,0.8469396237312139,0.8820010662237975,0.8696802342482893,0.21385006606578827,0.001,331.1,3,130024,5.62
1,0.8782730928658254,0.880262691436939,0.8782730928658254,0.8724988845646074,0.8350558912769628,0.8782730928658254,0.8782730928658254,0.8511266787190439,0.8782730928658254,0.8690523387289654,0.1324581652879715,0.0009989726963751681,330.6,5,130211,5.6
2,0.8709731675683974,0.8705896422976851,0.8709731675683974,0.8664502716715454,0.8412362575469462,0.8709731675683974,0.8709731675683974,0.8513685009236461,0.8709731675683974,0.8642456766584711,0.1118600144982338,0.000995895006911623,330.6,4,130183,5.6
3,0.8690909675493105,0.8696819747515059,0.8690909675493105,0.8643136080095942,0.8357705921623858,0.8690909675493105,0.8690909675493105,0.8474759838260345,0.8690909675493105,0.8615366535885582,0.10037476569414139,0.0009907795784955327,330.2,5,130369,5.6
4,0.8700430791955985,0.8696858843416315,0.8700430791955985,0.866224794098724,0.8405956342419869,0.8700430791955985,0.8700430791955985,0.8510852674124711,0.8700430791955985,0.8636733621416255,0.09273649007081985,0.0009836474315195148,330.4,4,130293,5.6
5,0.8697089201598722,0.8730814769180688,0.8697089201598722,0.8651710109597931,0.841691620609808,0.8697089201598722,0.8697089201598722,0.8531991094801101,0.8697089201598722,0.8635583195810914,0.087342269718647,0.0009745278735053344,330.1,4,130398,5.6
6,0.8662862990242017,0.8678252589018852,0.8662862990242017,0.8628686761801648,0.8411298208494129,0.8662862990242017,0.8662862990242017,0.8495484748819768,0.8662862990242017,0.8600410522014098,0.08313529938459396,0.0009634583786730109,330.3,3,130335,5.6
7,0.8691948579280486,0.8690044537075049,0.8691948579280486,0.8630520401043756,0.8410167486543458,0.8691948579280486,0.8691948579280486,0.8500192098072192,0.8691948579280486,0.8614582030338996,0.07974540442228317,0.0009504844339512095,329.4,4,130677,5.6
8,0.8593168157543162,0.8579903045736761,0.8593168157543162,0.8563010418830524,0.8399194015407971,0.8593168157543162,0.8593168157543162,0.845382016534254,0.8593168157543162,0.8542786559135029,0.0769282653927803,0.0009356593520616947,329.8,6,130532,5.6
9,0.8665021642744777,0.8673683825570093,0.8665021642744777,0.8629310176911092,0.8390890070663872,0.8665021642744777,0.8665021642744777,0.8485225453590477,0.8665021642744777,0.859975502002396,0.07465028762817383,0.0009190440524459203,331.1,3,129999,5.6
10,0.8554740797686683,0.8539158875471519,0.8554740797686683,0.8528561519126829,0.8379952901140408,0.8554740797686683,0.8554740797686683,0.8424198031565242,0.8554740797686683,0.8505486067890884,0.07261458039283752,0.0009007068109339783,331.0,4,130043,5.6
11,0.8582872044873953,0.8532663156779519,0.8582872044873953,0.8543172711165907,0.8394578172632525,0.8582872044873953,0.8582872044873953,0.8421652402454068,0.8582872044873953,0.8517892994797358,0.07087942957878113,0.0008807229791845672,329.2,4,130775,5.6
