benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
72510093,80149,15665544,18297002,35877167,360124,82304,42990174,56840,556600,568878,272928,4544839,44486967,2539925,224066
174130,13750156,8113,55888,35085,18901,146286,60138,309,1141232,13675,73699,294,89607,172967,8520
3247397,3800,32254680,691872,1507827,19146,3635,2923431,969264,25061,22363,17062,275560,1933523,341320,11559
4526516,13746,602367,25156301,1971618,59350,13687,4374569,101505,880552,1740489,289516,37588,2462340,480231,607325
9025571,10959,1802563,2243333,20366288,27427,11002,5335040,574877,406046,137013,82153,1178122,5426165,771280,143161
2272018,66412,1538669,336173,2006886,143194551,122366,1253755,1994035,1514271,730276,9094,32628,1177963,772727,387176
136104,150922,12844,55646,50360,12766,10303473,52352,132,766181,8697,95351,317,50967,152021,12367
12874889,19799,3404055,5560525,6139022,59124,18298,8939565,161370,113984,395704,56341,705396,7666519,539179,51130
58807,1089,652279,124305,549671,12614,1241,69027,44490527,23495,373412,39330,996,15150,501707,114250
731996,724350,258747,936180,932736,129411,1137917,532060,8204,46069269,145558,578109,260705,666325,688236,416497
385197,4150,35697,1635599,294269,25292,5148,522742,808977,95864,22485043,36346,579,158565,500764,5668
100671,29883,8997,178908,63709,4096,21387,60755,16648,313727,9818,3068114,1083,62945,39888,1795071
2358347,550,585822,348206,3016485,3890,0,1406174,11857,297440,2783,19859,10907231,1892922,138440,154494
14551022,16472,3156675,3777432,7514462,76088,22965,8553703,45968,203085,160650,60574,1055749,9243010,567517,52028
9589951,162751,1240039,3509287,10106723,1167675,194004,2830216,3121464,5065100,2613925,17170,1063490,3176020,193522738,1952947
110398,32825,5424,165820,81695,13163,36886,52058,100543,287506,71630,4799659,79123,84262,208605,20506303
