benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
918547,994,51448,148040,305022,10841,918,422155,7,2426,3547,68,7606,487505,31264,748
765,152735,1,260,114,375,626,81,0,571,44,11,0,71,1805,31
24209,24,364685,3159,8490,486,42,21370,4315,87,130,0,289,11664,3518,7
22836,145,1127,368047,9174,1429,92,9904,189,2349,2919,98,14,8178,5894,782
65830,91,2034,11681,331777,294,94,21016,2769,1859,731,168,2418,23939,9576,1133
1929,22,5,661,327,1564328,82,296,0,74,77,0,1,302,5918,68
705,547,1,212,91,274,114460,69,0,261,48,0,0,103,1829,5
141572,296,22934,64854,48025,1615,229,108794,1458,435,3158,38,954,65552,6815,320
212,0,4047,1061,1004,71,10,98,455112,44,2632,3,2,11,5589,383
1776,3133,13,6369,2134,482,3161,210,0,512756,288,2877,95,138,8000,731
1826,46,33,12969,1573,361,75,694,76,135,246000,0,2,337,5846,26
366,4,6,1691,142,81,5,152,58,94,9,36149,0,43,466,18491
10462,0,313,40,21770,27,0,3647,0,2321,0,0,165026,5002,1338,1499
179396,174,7725,30924,64489,2132,229,77193,365,1253,1284,84,2191,115780,7172,183
8493,116,596,1789,93,2524,162,578,452,280,4477,0,91,1470,2371326,888
198,4,0,1286,42,139,6,22,28,583,1,5954,350,10,1391,256345
