idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled,precision_proxy,recall_proxy,f1_proxy
0,benign,2391136,0.22220,0.602427,0.328073,0.356593,0.203562,0.001531,0.719004,0.565491,0.328073,0.415241,0.695705,0.415271,0.520094
1,accelerationMultiplication,157490,0.01463,0.925153,0.898085,0.898266,0.190912,0.000000,0.974548,0.933695,0.898085,0.915544,0.983025,0.970728,0.976838
2,constantPositionOffset,442475,0.04112,0.734992,0.743752,0.677034,0.154121,0.255181,0.828179,0.503314,0.743752,0.600354,0.766593,0.858473,0.809936
3,constantSpeedOffset,433177,0.04025,0.739281,0.724263,0.666534,0.187651,0.044002,0.860238,0.591282,0.724263,0.651051,0.840946,0.937360,0.886539
4,dataReplay,475410,0.04418,0.550507,0.500680,0.393541,0.105845,0.189208,0.554084,0.267853,0.500680,0.348999,0.570804,0.738384,0.643869
5,dosAttack,1574090,0.14627,0.988080,0.972552,0.979615,0.020896,0.900223,0.995480,0.987401,0.972552,0.979920,0.984049,0.994197,0.989097
6,feignedBraking,118605,0.01102,0.926074,0.901148,0.898910,0.119917,0.381396,0.971502,0.905741,0.901148,0.903438,0.960251,0.969740,0.964972
7,positionMirroring,467049,0.04340,0.188221,0.215849,0.113562,0.079423,0.000000,0.227418,0.128158,0.215849,0.160827,0.210806,0.315374,0.252699
8,randomPositionOffset,470279,0.04370,0.889347,0.954642,0.915857,0.059113,0.746473,0.969479,0.871080,0.954642,0.910949,0.980466,0.972621,0.976527
9,randomSpeedOffset,542163,0.05038,0.880553,0.903087,0.876426,0.106816,0.485621,0.965047,0.845734,0.903087,0.873470,0.983445,0.959817,0.971487
10,reversedHeading,269999,0.02509,0.892670,0.820519,0.829463,0.117525,0.302914,0.957254,0.841489,0.820519,0.830872,0.962141,0.956122,0.959122
11,suddenConstantSpeed,57757,0.00537,0.608585,0.633826,0.523693,0.112562,0.306320,0.700230,0.386291,0.633826,0.480026,0.757260,0.691258,0.722755
12,suddenStop,211445,0.01965,0.839561,0.573363,0.620847,0.177069,0.095613,0.862987,0.720409,0.573363,0.638529,0.989491,0.787297,0.876889
13,timeDelayAttack,490574,0.04559,0.126224,0.217396,0.105282,0.087627,0.000000,0.231181,0.128875,0.217396,0.161821,0.159190,0.312931,0.211029
14,trafficCongestionSybil,2393335,0.22240,0.967392,0.806860,0.847608,0.217288,0.053446,0.975175,0.964479,0.806860,0.878657,0.966547,0.991512,0.978870
15,zeroSpeedReport,266359,0.02475,0.876048,0.766295,0.765162,0.215402,0.079397,0.936565,0.836183,0.766295,0.799715,0.926861,0.946309,0.936484
