cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.745641,0.639151,0.745641,0.745694,0.690377,0.745641,0.745641,0.644154,0.745641,0.737515
1,0.684737,0.737640,0.684737,0.765377,0.699195,0.684737,0.684737,0.654624,0.684737,0.679312
2,0.736172,0.750654,0.736172,0.777699,0.696255,0.736172,0.736172,0.688748,0.736172,0.742441
3,0.756344,0.736720,0.756344,0.755317,0.687058,0.756344,0.756344,0.683421,0.756344,0.741812
4,0.664934,0.621218,0.664934,0.713820,0.682824,0.664934,0.664934,0.611608,0.664934,0.642828
5,0.600352,0.711858,0.600352,0.752369,0.665251,0.600352,0.600352,0.647739,0.600352,0.634609
6,0.568773,0.691961,0.568773,0.708420,0.630212,0.568773,0.568773,0.577359,0.568773,0.512030
7,0.673210,0.793205,0.673210,0.778668,0.659312,0.673210,0.673210,0.667869,0.673210,0.689614
8,0.641996,0.727971,0.641996,0.755375,0.680272,0.641996,0.641996,0.642833,0.641996,0.608793
9,0.650818,0.733324,0.650818,0.742269,0.654063,0.650818,0.650818,0.642577,0.650818,0.639262
10,0.523852,0.706582,0.523852,0.703887,0.682578,0.523852,0.523852,0.638640,0.523852,0.511273
11,0.806955,0.795596,0.806955,0.802714,0.744874,0.806955,0.806955,0.742314,0.806955,0.777139
12,0.650431,0.795541,0.650431,0.804443,0.724350,0.650431,0.650431,0.700419,0.650431,0.647755
13,0.630033,0.729244,0.630033,0.757580,0.622665,0.630033,0.630033,0.617682,0.630033,0.626770
14,0.684746,0.774442,0.684746,0.804429,0.747520,0.684746,0.684746,0.720002,0.684746,0.691959
15,0.619692,0.743279,0.619692,0.749254,0.536033,0.619692,0.619692,0.507273,0.619692,0.603845
16,0.721859,0.756021,0.721859,0.760646,0.693073,0.721859,0.721859,0.704079,0.721859,0.729104
17,0.709294,0.733270,0.709294,0.779947,0.713015,0.709294,0.709294,0.666394,0.709294,0.714858
18,0.722480,0.721851,0.722480,0.765930,0.712991,0.722480,0.722480,0.689950,0.722480,0.725352
19,0.656759,0.783820,0.656759,0.783913,0.714477,0.656759,0.656759,0.692716,0.656759,0.627629
20,0.695305,0.797294,0.695305,0.786584,0.683906,0.695305,0.695305,0.674732,0.695305,0.687526
21,0.688772,0.690702,0.688772,0.764683,0.758715,0.688772,0.688772,0.677864,0.688772,0.664928
22,0.553225,0.718873,0.553225,0.749227,0.671976,0.553225,0.553225,0.630755,0.553225,0.554743
23,0.554371,0.648623,0.554371,0.679251,0.645478,0.554371,0.554371,0.577830,0.554371,0.546319
24,0.656599,0.758464,0.656599,0.775911,0.673620,0.656599,0.656599,0.664839,0.656599,0.685669
25,0.581728,0.664467,0.581728,0.699537,0.663604,0.581728,0.581728,0.599891,0.581728,0.576114
26,0.801547,0.784389,0.801547,0.797679,0.729384,0.801547,0.801547,0.715975,0.801547,0.777120
27,0.684330,0.763147,0.684330,0.778124,0.740054,0.684330,0.684330,0.705453,0.684330,0.660805
28,0.587225,0.663988,0.587225,0.738574,0.612292,0.587225,0.587225,0.555570,0.587225,0.583781
29,0.645566,0.787100,0.645566,0.795283,0.712279,0.645566,0.645566,0.696975,0.645566,0.630041
30,0.669705,0.684512,0.669705,0.755624,0.689326,0.669705,0.669705,0.614411,0.669705,0.658982
31,0.587158,0.741120,0.587158,0.780072,0.662299,0.587158,0.587158,0.617853,0.587158,0.600209
32,0.681270,0.709792,0.681270,0.753850,0.688977,0.681270,0.681270,0.664820,0.681270,0.682212
33,0.583101,0.713526,0.583101,0.747864,0.670761,0.583101,0.583101,0.637257,0.583101,0.585363
34,0.727543,0.749236,0.727543,0.777201,0.663206,0.727543,0.727543,0.630179,0.727543,0.718007
35,0.703355,0.733665,0.703355,0.779814,0.710663,0.703355,0.703355,0.658154,0.703355,0.707861
36,0.683524,0.803788,0.683524,0.798245,0.640785,0.683524,0.683524,0.642918,0.683524,0.697990
37,0.557264,0.688034,0.557264,0.732223,0.697638,0.557264,0.557264,0.643578,0.557264,0.555154
38,0.762571,0.781603,0.762571,0.782459,0.723288,0.762571,0.762571,0.730702,0.762571,0.759981
39,0.664366,0.743815,0.664366,0.785466,0.719383,0.664366,0.664366,0.686482,0.664366,0.662685
40,0.696331,0.741462,0.696331,0.791039,0.717008,0.696331,0.696331,0.672194,0.696331,0.714873
41,0.662483,0.769247,0.662483,0.785936,0.621534,0.662483,0.662483,0.603969,0.662483,0.676008
42,0.695996,0.707594,0.695996,0.750224,0.688183,0.695996,0.695996,0.680043,0.695996,0.711213
43,0.608626,0.758776,0.608626,0.761236,0.714816,0.608626,0.608626,0.690169,0.608626,0.628491
44,0.658957,0.740103,0.658957,0.758674,0.693359,0.658957,0.658957,0.661485,0.658957,0.634799
45,0.661764,0.756482,0.661764,0.788169,0.703949,0.661764,0.661764,0.676023,0.661764,0.659952
46,0.630715,0.663739,0.630715,0.734326,0.703514,0.630715,0.630715,0.639725,0.630715,0.596719
47,0.694026,0.789672,0.694026,0.808251,0.701401,0.694026,0.694026,0.683417,0.694026,0.699346
48,0.714250,0.756383,0.714250,0.763192,0.690651,0.714250,0.714250,0.683719,0.714250,0.687061
49,0.471544,0.679286,0.471544,0.722242,0.622772,0.471544,0.471544,0.556340,0.471544,0.452458
