benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
22630652,1242795,12096027,11561885,25792719,628115,206381,15626722,675083,3641121,2216150,976937,2689154,17795383,488815,1288861
224751,4533975,52544,126530,188786,68202,444933,123154,18744,1167083,53615,514601,4572,153029,38090,161891
1520194,99515,10432905,689400,1789295,58856,16622,1395724,4165108,183813,143499,74926,224360,1116824,94919,117790
2537707,160137,1067557,5491536,2676160,123075,51125,2153676,556815,2454327,892260,657800,163949,1771781,108305,792640
3160634,208781,1560190,1492422,9230148,88503,36480,2019653,798722,1031219,348574,157753,711875,2477331,206591,241624
1482613,470679,1372338,992142,2117936,61684723,239066,913548,3143080,2204696,373422,644249,185160,1142291,345486,1393071
114674,444877,33242,101224,118143,36793,3474261,59784,12043,1031205,35529,249264,1414,90046,26644,101107
4151797,220232,2562479,2457062,4723028,107864,40918,3452940,293171,742125,474542,218225,432280,3155360,106924,213503
62504,12854,1477818,116797,1668184,111244,7949,122943,19157139,113288,136444,125984,3951,44359,141945,210547
830450,689134,321817,1192122,1425220,340060,1008847,365706,261624,17023973,587306,726100,743169,679054,220067,693501
356898,72123,144418,1096900,1056937,70691,35046,455986,1965740,1011166,6665702,168587,10273,231377,114186,43920
91722,194531,29407,151610,140632,15358,73194,70615,69590,538360,22080,825452,9290,58710,10217,587082
995210,76837,689599,397755,1791006,26272,4313,637767,83363,306268,79609,66009,4266924,816735,40626,293957
4563479,256459,2392766,2339587,5293339,133189,44114,3126341,155778,776671,457282,195768,629873,3754418,120409,289227
6820688,951430,2926523,3666894,13707564,3139438,949478,4030727,6567940,8467826,4265451,425125,2634705,4572661,53301663,3238637
131342,202969,25990,423482,469097,48586,165229,103968,513131,1248730,101497,2312043,128748,82130,55090,7305918
