round,selected,evaluated,cache_mismatch,lr,accuracy,accuracy_std,accuracy_min,accuracy_max,precision_macro,precision_macro_std,precision_macro_min,precision_macro_max,precision_micro,precision_micro_std,precision_micro_min,precision_micro_max,precision_weighted,precision_weighted_std,precision_weighted_min,precision_weighted_max,recall_macro,recall_macro_std,recall_macro_min,recall_macro_max,recall_micro,recall_micro_std,recall_micro_min,recall_micro_max,recall_weighted,recall_weighted_std,recall_weighted_min,recall_weighted_max,f1_macro,f1_macro_std,f1_macro_min,f1_macro_max,f1_micro,f1_micro_std,f1_micro_min,f1_micro_max,f1_weighted,f1_weighted_std,f1_weighted_min,f1_weighted_max,loss_w_client_mean,ce_orig_client_mean,loss_theta_client_mean,gnorm_w,gnorm_theta,steps_w,skipped_w,steps_theta,skipped_theta,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,100,100,0,0.001,0.42483993308270174,0.09218175504603723,0.19153259960211286,0.574448282152144,0.43367809421052606,0.05747961881229122,0.25858734740385736,0.5374792719365021,0.42483993308270174,0.09218175504603723,0.19153259960211286,0.574448282152144,0.5818034528761636,0.058856540644831035,0.2899664662549897,0.6625290214688877,0.3923920675625609,0.05013621045594148,0.2406942703319149,0.5098816043586832,0.42483993308270174,0.09218175504603723,0.19153259960211286,0.574448282152144,0.42483993308270174,0.09218175504603723,0.19153259960211286,0.574448282152144,0.3238482682727499,0.05598453345019389,0.15358558537613592,0.4396822057275077,0.42483993308270174,0.09218175504603723,0.19153259960211286,0.574448282152144,0.41100324507256375,0.10006216467229712,0.14492409663235167,0.5700398854616624,0.6292078096097287,0.23935914641320996,0.26559203463383363,1.5089153267143616,1.6952006281238061,168200,5,168200,52,1550.1976904659998,1279.602818502,7.1761322021484375,7.3360676765441895,compiled,2832.443451041
2,100,100,0,0.0009989829694114164,0.4152869544256697,0.09272487036944625,0.15826398247876683,0.5653788751088038,0.4351382695971502,0.05108709210995332,0.2944627794295894,0.5471984729981334,0.4152869544256697,0.09272487036944625,0.15826398247876683,0.5653788751088038,0.5817327830705218,0.05594878493000951,0.29972900160114624,0.6555408183540229,0.3936268531983497,0.049654034739066454,0.24941741428384753,0.49611169775669184,0.4152869544256697,0.09272487036944625,0.15826398247876683,0.5653788751088038,0.4152869544256697,0.09272487036944625,0.15826398247876683,0.5653788751088038,0.3231992223502307,0.05624643162229596,0.15708580913355907,0.42548696319003154,0.4152869544256697,0.09272487036944625,0.15826398247876683,0.5653788751088038,0.4033305549412289,0.10252574663017928,0.1085955233168969,0.5597720335337966,0.34088791039616984,0.09318617974597863,0.18061959020670731,0.9427804339552405,1.4569845899177045,168200,3,168200,19,1390.648181685,1253.336942412,7.311860084533691,7.316518783569336,compiled,2647.2059269499996
3,100,100,0,0.0009959360568425068,0.4071721670798895,0.09175188815086008,0.16594815349719827,0.5808575193635218,0.4270958550385457,0.05057043907217403,0.2866305169300959,0.523525694063229,0.4071721670798895,0.09175188815086008,0.16594815349719827,0.5808575193635218,0.5778967918408813,0.050976352947704376,0.30281241135279646,0.6361531247532879,0.39127997041259827,0.0500752124022367,0.2599956726095004,0.49961422927661514,0.4071721670798895,0.09175188815086008,0.16594815349719827,0.5808575193635218,0.4071721670798895,0.09175188815086008,0.16594815349719827,0.5808575193635218,0.3176805327904349,0.05535991829900633,0.1555625268359497,0.4300042783219984,0.4071721670798895,0.09175188815086008,0.16594815349719827,0.5808575193635218,0.39377929594020683,0.10222767141723961,0.12701520706966152,0.5667804220743626,0.2601074268078848,0.06374126827572024,0.14100461354615773,0.6988470870758909,1.2103631503423045,168200,12,168200,23,1317.158190235,1247.507249665,7.325440406799316,7.316518783569336,compiled,2567.654784622
4,100,100,0,0.0009908717827105773,0.39975294812180967,0.08937672283581244,0.1655667884575373,0.5717685051020119,0.4221293231194565,0.05025203554258853,0.29176086764447595,0.5226325718695675,0.39975294812180967,0.08937672283581244,0.1655667884575373,0.5717685051020119,0.5741410348195647,0.05033923920602631,0.30191714613823073,0.6414936577013013,0.38939915700789257,0.049895695029251064,0.2497782813527909,0.4907327653620698,0.39975294812180967,0.08937672283581244,0.1655667884575373,0.5717685051020119,0.39975294812180967,0.08937672283581244,0.16556678845753733,0.5717685051020119,0.3135793319921034,0.05450452439650956,0.16836744303497003,0.40853544152879273,0.39975294812180967,0.08937672283581244,0.1655667884575373,0.5717685051020119,0.38797639049058275,0.09973580771858902,0.12175646492456407,0.5598643811629956,0.17427865534392217,0.047015538132915376,0.12206513445772145,0.5617389640069647,1.146354713289914,168200,5,168200,36,1290.3387866459998,1250.1407403400008,7.061902046203613,7.316518783569336,compiled,2543.3775746640003
5,100,100,0,0.0009838109572043196,0.39369347673427013,0.08598638019607156,0.15038271710138781,0.5560573619853953,0.41470621238380223,0.04558069901478203,0.30211460544584656,0.49369060502464046,0.39369347673427013,0.08598638019607156,0.15038271710138781,0.5560573619853953,0.570363158033909,0.046656122157948496,0.31425653658595676,0.6287004854180879,0.3854145326249581,0.0479023590071817,0.24166614307222747,0.4818580846791896,0.39369347673427013,0.08598638019607156,0.15038271710138781,0.5560573619853953,0.39369347673427013,0.08598638019607156,0.15038271710138781,0.5560573619853952,0.30792083259645747,0.051192165254856085,0.14903146580893922,0.4091323102929909,0.39369347673427013,0.08598638019607156,0.15038271710138781,0.5560573619853953,0.3804268256730053,0.09719414581693318,0.10128820302217713,0.5469590356090221,0.10669612923656961,0.03808968246815283,0.10454316175599279,0.4779441440822736,1.1501208963037772,168200,2,168200,52,1290.1144819459987,1247.2449854309998,7.061902046203613,7.316518783569336,compiled,2540.4912890839987
6,100,100,0,0.000974782594770281,0.38943170104326197,0.08450001292051251,0.1763673920624963,0.5425054289227655,0.4095253951644796,0.045128638844029255,0.2749082654939359,0.5121052933157384,0.38943170104326197,0.08450001292051251,0.1763673920624963,0.5425054289227655,0.5665231318401035,0.0474582003923283,0.3068274089078699,0.6393291157142276,0.38220390904516116,0.04741151865453976,0.24381628589731025,0.4772612870859442,0.38943170104326197,0.08450001292051251,0.1763673920624963,0.5425054289227655,0.38943170104326197,0.08450001292051249,0.1763673920624963,0.5425054289227655,0.30389984552210786,0.05125452952347549,0.15162778390488485,0.4017919871699853,0.38943170104326197,0.08450001292051251,0.1763673920624963,0.5425054289227655,0.37655829161755733,0.09575864796804985,0.14177752403874408,0.5328734181103447,0.07021919860035501,0.032254581321238436,0.08869752001618361,0.41482318064670876,1.1316919214414967,168200,3,168200,51,1293.1090755349996,1250.7424986439983,7.061902046203613,7.316518783569336,compiled,2546.8426293759985
7,100,100,0,0.0009638237948862808,0.38651155994191433,0.08563233860515586,0.16652670582101137,0.5423190209623464,0.40745251131035964,0.047231896843294034,0.2855560608046835,0.5126891861611234,0.38651155994191433,0.08563233860515586,0.16652670582101137,0.5423190209623464,0.564982051664043,0.048956538852214,0.30931686774560824,0.6417031873363208,0.3794917952160738,0.04837776181123105,0.24198908784464992,0.4805792508351434,0.38651155994191433,0.08563233860515586,0.16652670582101137,0.5423190209623464,0.38651155994191433,0.08563233860515587,0.16652670582101137,0.5423190209623464,0.30221627456100203,0.05155138783882978,0.15047005442135014,0.4061888437103031,0.38651155994191433,0.08563233860515586,0.16652670582101137,0.5423190209623464,0.3739956931134133,0.09623244691691386,0.12769973805343954,0.532648633381638,0.05081419452878748,0.028033344530832945,0.07477266917181852,0.36911853299181013,1.0684178984031298,168200,3,168200,45,1293.3168707449986,1248.9476030760015,7.061147212982178,7.316518783569336,compiled,2545.0787213689982
8,100,100,0,0.0009509795896116975,0.3843474490126372,0.08446182324922179,0.14773908795584342,0.5333982013211548,0.3994358005523096,0.04447210062718867,0.2710587789162551,0.5037807437956144,0.3843474490126372,0.08446182324922179,0.14773908795584342,0.5333982013211548,0.5588327314381019,0.04905105994191177,0.29519946768930977,0.6326621557351757,0.37804360772615814,0.04780760098124425,0.2485732409455162,0.48758073367706134,0.3843474490126372,0.08446182324922179,0.14773908795584342,0.5333982013211548,0.3843474490126372,0.08446182324922179,0.14773908795584342,0.5333982013211548,0.29817670374067384,0.050646822910800436,0.15266123774969603,0.390469103222364,0.3843474490126372,0.08446182324922179,0.14773908795584342,0.5333982013211548,0.3701024396555782,0.0956715999428549,0.1030498600602987,0.5301728464594426,0.040078164904761196,0.024790552933932307,0.06337108704566068,0.3377873536725129,0.9828697501902812,168200,2,168200,49,1283.582877361001,1248.151837827998,7.061902046203613,7.316518783569336,compiled,2534.805171655
9,100,100,0,0.0009363027585410778,0.38175378482035177,0.08408484259590657,0.1547346832082204,0.5401534919944472,0.39777694660863433,0.045518071926961744,0.2806015589006706,0.4811789791702943,0.38175378482035177,0.08408484259590657,0.1547346832082204,0.5401534919944472,0.5589068092974839,0.04927579582644098,0.29932285383608404,0.619281118982135,0.3760642557399199,0.04657955948296636,0.2434696342817141,0.4685808434250567,0.38175378482035177,0.08408484259590657,0.1547346832082204,0.5401534919944472,0.38175378482035177,0.08408484259590657,0.15473468320822037,0.5401534919944471,0.29714405457833193,0.050047111742951754,0.1466903602443622,0.3921930412262106,0.38175378482035177,0.08408484259590657,0.1547346832082204,0.5401534919944472,0.36842834293601856,0.09584358011496749,0.11015486676726613,0.538402068679219,0.032964703792689495,0.022260093104808074,0.05391344662876995,0.3124136586096274,0.8915630142353653,168200,2,168200,43,1283.2966979600023,1250.0429609999992,7.061147212982178,7.316518783569336,compiled,2536.287430252003
10,100,100,0,0.0009198536119214611,0.38043431475049166,0.08422596074962035,0.15437868674941407,0.5187533749272744,0.39549186246748036,0.04479483216456696,0.2654731954670131,0.4871587846116745,0.38043431475049166,0.08422596074962035,0.15437868674941407,0.5187533749272744,0.557969202603413,0.04884332526352912,0.296834986030324,0.6303922563423463,0.37502315773960004,0.04747536532705408,0.24269669233478075,0.474864793273359,0.38043431475049166,0.08422596074962035,0.15437868674941407,0.5187533749272744,0.3804343147504916,0.08422596074962035,0.15437868674941407,0.5187533749272744,0.2955792418537837,0.050600708477410515,0.15392285584895776,0.38893500502659817,0.38043431475049166,0.08422596074962035,0.15437868674941407,0.5187533749272744,0.3671546830897091,0.096030317266801,0.10945236301975911,0.5221028711684145,0.027846349630053967,0.020130031178168823,0.04674793694008672,0.29170287282303503,0.8136476096151735,168200,2,168200,48,1279.642715457001,1248.2356593269978,7.061902046203613,7.316518783569336,compiled,2530.8650750499983
