idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled
0,benign,2391136,0.22220,0.553733,0.263821,0.296271,0.207529,0.000121,0.589008,0.535259,0.263821,0.353438
1,accelerationMultiplication,157490,0.01463,0.836163,0.742032,0.704722,0.296670,0.012377,0.923904,0.789668,0.742032,0.765109
2,constantPositionOffset,442475,0.04112,0.555648,0.626263,0.476815,0.118986,0.252420,0.636944,0.346407,0.626263,0.446075
3,constantSpeedOffset,433177,0.04025,0.513551,0.437232,0.363788,0.261009,0.000134,0.741145,0.456187,0.437232,0.446508
4,dataReplay,475410,0.04418,0.291029,0.485828,0.266210,0.075947,0.125981,0.413240,0.178990,0.485828,0.261600
5,dosAttack,1574090,0.14627,0.962061,0.906158,0.924794,0.083456,0.670524,0.981797,0.957902,0.906158,0.931312
6,feignedBraking,118605,0.01102,0.757401,0.755982,0.694199,0.220475,0.103618,0.932102,0.694583,0.755982,0.723983
7,positionMirroring,467049,0.04340,0.146434,0.205682,0.103564,0.092048,0.000004,0.231707,0.128992,0.205682,0.158550
8,randomPositionOffset,470279,0.04370,0.713859,0.858112,0.722835,0.161137,0.289425,0.939544,0.612204,0.858112,0.714594
9,randomSpeedOffset,542163,0.05038,0.657549,0.735624,0.585140,0.224684,0.059251,0.878994,0.498972,0.735624,0.594617
10,reversedHeading,269999,0.02509,0.689116,0.710648,0.589678,0.245265,0.003179,0.881491,0.546716,0.710648,0.617996
11,suddenConstantSpeed,57757,0.00537,0.313139,0.406619,0.244209,0.145806,0.005579,0.518669,0.194387,0.406619,0.263030
12,suddenStop,211445,0.01965,0.643664,0.521639,0.479553,0.209133,0.000690,0.778269,0.470485,0.521639,0.494743
13,timeDelayAttack,490574,0.04559,0.121022,0.209387,0.111561,0.070280,0.000805,0.217413,0.115450,0.209387,0.148836
14,trafficCongestionSybil,2393335,0.22240,0.958222,0.504976,0.578364,0.369430,0.000011,0.949070,0.977383,0.504976,0.665905
15,zeroSpeedReport,266359,0.02475,0.760887,0.680210,0.627304,0.218756,0.098940,0.850223,0.657771,0.680210,0.668802
