cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.529429,0.440325,0.529429,0.626761,0.505447,0.529429,0.529429,0.403213,0.529429,0.531251
1,0.357521,0.423858,0.357521,0.583906,0.401215,0.357521,0.357521,0.286707,0.357521,0.360780
2,0.542716,0.582657,0.542716,0.669701,0.456380,0.542716,0.542716,0.408608,0.542716,0.549150
3,0.553578,0.553639,0.553578,0.640565,0.436583,0.553578,0.553578,0.427459,0.553578,0.561933
4,0.475412,0.458567,0.475412,0.624010,0.425957,0.475412,0.475412,0.338803,0.475412,0.467800
5,0.296487,0.501656,0.296487,0.623241,0.368040,0.296487,0.296487,0.340970,0.296487,0.308714
6,0.412443,0.531478,0.412443,0.555916,0.444159,0.412443,0.412443,0.391411,0.412443,0.372031
7,0.402674,0.476851,0.402674,0.590492,0.398933,0.402674,0.402674,0.316336,0.402674,0.381578
8,0.475218,0.440210,0.475218,0.609483,0.443034,0.475218,0.475218,0.336652,0.475218,0.435705
9,0.326843,0.390351,0.326843,0.549513,0.376733,0.326843,0.326843,0.282979,0.326843,0.275601
10,0.400310,0.452609,0.400310,0.558343,0.484945,0.400310,0.400310,0.400475,0.400310,0.353608
11,0.559557,0.514068,0.559557,0.636196,0.587709,0.559557,0.559557,0.502201,0.559557,0.544774
12,0.445845,0.542629,0.445845,0.664735,0.508328,0.445845,0.445845,0.409766,0.445845,0.421339
13,0.471983,0.528692,0.471983,0.637030,0.372121,0.471983,0.471983,0.315154,0.471983,0.449202
14,0.493296,0.505033,0.493296,0.634706,0.545443,0.493296,0.493296,0.467792,0.493296,0.493864
15,0.408667,0.478909,0.408667,0.593294,0.323220,0.408667,0.408667,0.229842,0.408667,0.348775
16,0.371294,0.430507,0.371294,0.594250,0.461998,0.371294,0.371294,0.343862,0.371294,0.349276
17,0.455600,0.494583,0.455600,0.618078,0.413433,0.455600,0.455600,0.357753,0.455600,0.470405
18,0.479995,0.508647,0.479995,0.648944,0.526410,0.479995,0.479995,0.426970,0.479995,0.496179
19,0.535926,0.549813,0.535926,0.652574,0.525507,0.535926,0.535926,0.444031,0.535926,0.498208
20,0.516453,0.521806,0.516453,0.630101,0.450770,0.516453,0.516453,0.364582,0.516453,0.493774
21,0.530450,0.485682,0.530450,0.652541,0.550629,0.530450,0.530450,0.413266,0.530450,0.495529
22,0.208546,0.485942,0.208546,0.613720,0.333650,0.208546,0.208546,0.257533,0.208546,0.177919
23,0.354876,0.361811,0.354876,0.512059,0.427153,0.354876,0.354876,0.304814,0.354876,0.268382
24,0.378923,0.513757,0.378923,0.610421,0.367166,0.378923,0.378923,0.340092,0.378923,0.390677
25,0.318977,0.441567,0.318977,0.562015,0.416590,0.318977,0.318977,0.281475,0.318977,0.269714
26,0.551202,0.517943,0.551202,0.649553,0.523023,0.551202,0.551202,0.428331,0.551202,0.544480
27,0.496454,0.556119,0.496454,0.661879,0.558521,0.496454,0.496454,0.474346,0.496454,0.483451
28,0.346253,0.378279,0.346253,0.550994,0.402285,0.346253,0.346253,0.275363,0.346253,0.323537
29,0.458519,0.475342,0.458519,0.638778,0.469381,0.458519,0.458519,0.379319,0.458519,0.443904
30,0.382882,0.445653,0.382882,0.609808,0.454326,0.382882,0.382882,0.344579,0.382882,0.384899
31,0.391451,0.488805,0.391451,0.594084,0.473070,0.391451,0.391451,0.381038,0.391451,0.361548
32,0.507724,0.537449,0.507724,0.644080,0.440166,0.507724,0.507724,0.396389,0.507724,0.493316
33,0.238955,0.483702,0.238955,0.614821,0.330172,0.238955,0.238955,0.239671,0.238955,0.200261
34,0.532288,0.574345,0.532288,0.660665,0.403918,0.532288,0.532288,0.370656,0.532288,0.539160
35,0.482219,0.554141,0.482219,0.659143,0.508097,0.482219,0.482219,0.433124,0.482219,0.489816
36,0.415037,0.491305,0.415037,0.635915,0.422714,0.415037,0.415037,0.348400,0.415037,0.439552
37,0.365435,0.468372,0.365435,0.604612,0.455715,0.365435,0.365435,0.368062,0.365435,0.318168
38,0.523949,0.503641,0.523949,0.624454,0.519384,0.523949,0.523949,0.437225,0.523949,0.528194
39,0.466030,0.533688,0.466030,0.654635,0.453239,0.466030,0.466030,0.400145,0.466030,0.475184
40,0.407150,0.467436,0.407150,0.621860,0.504344,0.407150,0.407150,0.383408,0.407150,0.432360
41,0.443062,0.468666,0.443062,0.598275,0.405335,0.443062,0.443062,0.332690,0.443062,0.437335
42,0.422605,0.483299,0.422605,0.598931,0.415203,0.422605,0.422605,0.339411,0.422605,0.424218
43,0.410185,0.510031,0.410185,0.613381,0.516753,0.410185,0.410185,0.444712,0.410185,0.380050
44,0.535230,0.525488,0.535230,0.644696,0.506697,0.535230,0.535230,0.440143,0.535230,0.509699
45,0.499134,0.507695,0.499134,0.648399,0.431727,0.499134,0.499134,0.371436,0.499134,0.487465
46,0.285053,0.392539,0.285053,0.607189,0.389533,0.285053,0.285053,0.278101,0.285053,0.264298
47,0.478671,0.492515,0.478671,0.632770,0.438332,0.478671,0.478671,0.369652,0.478671,0.493336
48,0.470605,0.488256,0.470605,0.635414,0.489106,0.470605,0.470605,0.372335,0.470605,0.404404
49,0.260049,0.449861,0.260049,0.560806,0.340269,0.260049,0.260049,0.259881,0.260049,0.230946
